object_type,object_id,action,attributes
teacher,223265,update,"ect_first_became_eligible_for_training_at,"
teacher,223806,update,"ect_first_became_eligible_for_training_at,"
teacher,223880,update,"ect_first_became_eligible_for_training_at,"
teacher,224201,update,"ect_first_became_eligible_for_training_at,"
teacher,225327,update,"ect_first_became_eligible_for_training_at,"
teacher,227544,update,"ect_first_became_eligible_for_training_at,"
teacher,226990,update,"ect_first_became_eligible_for_training_at,"
teacher,228050,update,"ect_first_became_eligible_for_training_at,"
teacher,228896,update,"ect_first_became_eligible_for_training_at,"
teacher,229758,update,"ect_first_became_eligible_for_training_at,"
teacher,229822,update,"ect_first_became_eligible_for_training_at,"
teacher,230592,update,"ect_first_became_eligible_for_training_at,"
teacher,231479,update,"ect_first_became_eligible_for_training_at,"
teacher,232376,update,"ect_first_became_eligible_for_training_at,"
teacher,233653,update,"ect_first_became_eligible_for_training_at,"
teacher,233788,update,"ect_first_became_eligible_for_training_at,"
teacher,233763,update,"ect_first_became_eligible_for_training_at,"
teacher,234807,update,"ect_first_became_eligible_for_training_at,"
teacher,234877,update,"ect_first_became_eligible_for_training_at,"
teacher,234854,update,"ect_first_became_eligible_for_training_at,"
teacher,235235,update,"ect_first_became_eligible_for_training_at,"
teacher,235334,update,"ect_first_became_eligible_for_training_at,"
teacher,235452,update,"ect_first_became_eligible_for_training_at,"
teacher,236544,update,"ect_first_became_eligible_for_training_at,"
teacher,237569,update,"ect_first_became_eligible_for_training_at,"
teacher,237639,update,"ect_first_became_eligible_for_training_at,"
teacher,239371,update,"ect_first_became_eligible_for_training_at,"
teacher,239583,update,"ect_first_became_eligible_for_training_at,"
teacher,239604,update,"ect_first_became_eligible_for_training_at,"
teacher,241936,update,"ect_first_became_eligible_for_training_at,"
teacher,240532,update,"ect_first_became_eligible_for_training_at,"
teacher,240922,update,"ect_first_became_eligible_for_training_at,"
teacher,240973,update,"ect_first_became_eligible_for_training_at,"
teacher,240926,update,"ect_first_became_eligible_for_training_at,"
teacher,241683,update,"ect_first_became_eligible_for_training_at,"
teacher,243800,update,"ect_first_became_eligible_for_training_at,"
teacher,244472,update,"ect_first_became_eligible_for_training_at,"
teacher,244791,update,"ect_first_became_eligible_for_training_at,"
teacher,245400,update,"ect_first_became_eligible_for_training_at,"
teacher,246786,update,"ect_first_became_eligible_for_training_at,"
teacher,246989,update,"ect_first_became_eligible_for_training_at,"
teacher,247684,update,"ect_first_became_eligible_for_training_at,"
teacher,248491,update,"ect_first_became_eligible_for_training_at,"
teacher,249296,update,"ect_first_became_eligible_for_training_at,"
teacher,249882,update,"ect_first_became_eligible_for_training_at,"
teacher,250899,update,"ect_first_became_eligible_for_training_at,"
teacher,251074,update,"ect_first_became_eligible_for_training_at,"
teacher,251511,update,"ect_first_became_eligible_for_training_at,"
teacher,252935,update,"ect_first_became_eligible_for_training_at,"
teacher,253437,update,"ect_first_became_eligible_for_training_at,"
teacher,253550,update,"ect_first_became_eligible_for_training_at,"
teacher,253667,update,"ect_first_became_eligible_for_training_at,"
teacher,254347,update,"ect_first_became_eligible_for_training_at,"
teacher,256766,update,"ect_first_became_eligible_for_training_at,"
teacher,257261,update,"ect_first_became_eligible_for_training_at,"
teacher,257270,update,"ect_first_became_eligible_for_training_at,"
teacher,257322,update,"ect_first_became_eligible_for_training_at,"
teacher,257411,update,"ect_first_became_eligible_for_training_at,"
teacher,257941,update,"ect_first_became_eligible_for_training_at,"
teacher,258478,update,"ect_first_became_eligible_for_training_at,"
teacher,259349,update,"ect_first_became_eligible_for_training_at,"
teacher,259371,update,"ect_first_became_eligible_for_training_at,"
teacher,260445,update,"ect_first_became_eligible_for_training_at,"
teacher,260500,update,"ect_first_became_eligible_for_training_at,"
teacher,261945,update,"ect_first_became_eligible_for_training_at,"
teacher,262964,update,"ect_first_became_eligible_for_training_at,"
teacher,263224,update,"ect_first_became_eligible_for_training_at,"
teacher,263970,update,"ect_first_became_eligible_for_training_at,"
teacher,264844,update,"ect_first_became_eligible_for_training_at,"
teacher,264822,update,"ect_first_became_eligible_for_training_at,"
teacher,265288,update,"ect_first_became_eligible_for_training_at,"
teacher,263283,update,"ect_first_became_eligible_for_training_at,"
teacher,253008,update,"ect_first_became_eligible_for_training_at,"
teacher,258352,update,"ect_first_became_eligible_for_training_at,"
teacher,263615,update,"ect_first_became_eligible_for_training_at,"
teacher,218622,update,"ect_first_became_eligible_for_training_at,"
teacher,218818,update,"ect_first_became_eligible_for_training_at,"
teacher,219055,update,"ect_first_became_eligible_for_training_at,"
teacher,219162,update,"ect_first_became_eligible_for_training_at,"
teacher,219323,update,"ect_first_became_eligible_for_training_at,"
teacher,219551,update,"ect_first_became_eligible_for_training_at,"
teacher,220010,update,"ect_first_became_eligible_for_training_at,"
teacher,220298,update,"ect_first_became_eligible_for_training_at,"
teacher,220967,update,"ect_first_became_eligible_for_training_at,"
teacher,221088,update,"ect_first_became_eligible_for_training_at,"
teacher,221190,update,"ect_first_became_eligible_for_training_at,"
teacher,221239,update,"ect_first_became_eligible_for_training_at,"
teacher,228033,update,"ect_first_became_eligible_for_training_at,"
teacher,228831,update,"ect_first_became_eligible_for_training_at,"
teacher,229900,update,"ect_first_became_eligible_for_training_at,"
teacher,235340,update,"ect_first_became_eligible_for_training_at,"
teacher,235409,update,"ect_first_became_eligible_for_training_at,"
teacher,238222,update,"ect_first_became_eligible_for_training_at,"
teacher,238488,update,"ect_first_became_eligible_for_training_at,"
teacher,238648,update,"ect_first_became_eligible_for_training_at,"
teacher,244696,update,"ect_first_became_eligible_for_training_at,"
teacher,244903,update,"ect_first_became_eligible_for_training_at,"
teacher,245818,update,"ect_first_became_eligible_for_training_at,"
teacher,246661,update,"ect_first_became_eligible_for_training_at,"
teacher,247153,update,"ect_first_became_eligible_for_training_at,"
teacher,255905,update,"ect_first_became_eligible_for_training_at,"
teacher,256177,update,"ect_first_became_eligible_for_training_at,"
teacher,256309,update,"ect_first_became_eligible_for_training_at,"
teacher,257077,update,"ect_first_became_eligible_for_training_at,"
teacher,257354,update,"ect_first_became_eligible_for_training_at,"
teacher,257387,update,"ect_first_became_eligible_for_training_at,"
teacher,258206,update,"ect_first_became_eligible_for_training_at,"
teacher,258629,update,"ect_first_became_eligible_for_training_at,"
teacher,262402,update,"ect_first_became_eligible_for_training_at,"
teacher,262509,update,"ect_first_became_eligible_for_training_at,"
teacher,262890,update,"ect_first_became_eligible_for_training_at,"
teacher,263093,update,"ect_first_became_eligible_for_training_at,"
teacher,264142,update,"ect_first_became_eligible_for_training_at,"
teacher,264454,update,"ect_first_became_eligible_for_training_at,"
teacher,264548,update,"ect_first_became_eligible_for_training_at,"
teacher,264960,update,"ect_first_became_eligible_for_training_at,"
teacher,265192,update,"ect_first_became_eligible_for_training_at,"
